Date,Model,Candidate,Probability
2024-08-14,TheEconomist,Harris,0.52
2024-08-15,TheEconomist,Harris,0.52
2024-08-16,TheEconomist,Harris,0.49
2024-08-17,TheEconomist,Harris,0.49
2024-08-18,TheEconomist,Harris,0.49
2024-08-19,TheEconomist,Harris,0.52
2024-08-20,TheEconomist,Harris,0.51
2024-08-21,TheEconomist,Harris,0.51
2024-08-22,TheEconomist,Harris,0.52
2024-08-23,TheEconomist,Harris,0.55
2024-08-24,TheEconomist,Harris,0.55
2024-08-25,TheEconomist,Harris,0.55
2024-08-26,TheEconomist,Harris,0.55
2024-08-27,TheEconomist,Harris,0.54
2024-08-28,TheEconomist,Harris,0.54
2024-08-29,TheEconomist,Harris,0.56
2024-08-30,TheEconomist,Harris,0.54
2024-08-31,TheEconomist,Harris,0.53
2024-09-01,TheEconomist,Harris,0.53
2024-09-02,TheEconomist,Harris,0.52
2024-09-03,TheEconomist,Harris,0.54
2024-09-04,TheEconomist,Harris,0.53
2024-09-05,TheEconomist,Harris,0.52
2024-09-06,TheEconomist,Harris,0.5
2024-09-07,TheEconomist,Harris,0.52
2024-09-08,TheEconomist,Harris,0.52
2024-09-09,TheEconomist,Harris,0.51
2024-09-10,TheEconomist,Harris,0.53
2024-09-11,TheEconomist,Harris,0.51
2024-09-12,TheEconomist,Harris,0.51
2024-09-13,TheEconomist,Harris,0.52
2024-09-14,TheEconomist,Harris,0.53
2024-09-15,TheEconomist,Harris,0.53
2024-09-16,TheEconomist,Harris,0.52
2024-09-17,TheEconomist,Harris,0.56
2024-09-18,TheEconomist,Harris,0.57
2024-09-19,TheEconomist,Harris,0.59
2024-09-20,TheEconomist,Harris,0.57
2024-09-21,TheEconomist,Harris,0.56
2024-09-22,TheEconomist,Harris,0.57
2024-09-23,TheEconomist,Harris,0.57
2024-09-24,TheEconomist,Harris,0.53
2024-09-25,TheEconomist,Harris,0.55
2024-09-26,TheEconomist,Harris,0.54
2024-09-27,TheEconomist,Harris,0.58
2024-09-28,TheEconomist,Harris,0.57
2024-09-29,TheEconomist,Harris,0.57
2024-09-30,TheEconomist,Harris,0.57
2024-10-01,TheEconomist,Harris,0.55
2024-10-02,TheEconomist,Harris,0.56
2024-10-03,TheEconomist,Harris,0.55
2024-10-04,TheEconomist,Harris,0.54
2024-10-05,TheEconomist,Harris,0.53
2024-10-06,TheEconomist,Harris,0.53
2024-10-07,TheEconomist,Harris,0.53
2024-10-08,TheEconomist,Harris,0.53
2024-10-09,TheEconomist,Harris,0.54
2024-10-10,TheEconomist,Harris,0.51
2024-08-01,TheEconomist,Trump,0.57
2024-08-02,TheEconomist,Trump,0.55
2024-08-03,TheEconomist,Trump,0.55
2024-08-04,TheEconomist,Trump,0.53
2024-08-05,TheEconomist,Trump,0.53
2024-08-06,TheEconomist,Trump,0.53
2024-08-07,TheEconomist,Trump,0.52
2024-08-08,TheEconomist,Trump,0.52
2024-08-09,TheEconomist,Trump,0.52
2024-08-10,TheEconomist,Trump,0.5
2024-08-11,TheEconomist,Trump,0.5
2024-08-12,TheEconomist,Trump,0.48
2024-08-13,TheEconomist,Trump,0.48
2024-08-14,TheEconomist,Trump,0.48
2024-08-15,TheEconomist,Trump,0.48
2024-08-16,TheEconomist,Trump,0.51
2024-08-17,TheEconomist,Trump,0.51
2024-08-18,TheEconomist,Trump,0.51
2024-08-19,TheEconomist,Trump,0.48
2024-08-20,TheEconomist,Trump,0.49
2024-08-21,TheEconomist,Trump,0.49
2024-08-22,TheEconomist,Trump,0.48
2024-08-23,TheEconomist,Trump,0.45
2024-08-24,TheEconomist,Trump,0.45
2024-08-25,TheEconomist,Trump,0.45
2024-08-26,TheEconomist,Trump,0.45
2024-08-27,TheEconomist,Trump,0.46
2024-08-28,TheEconomist,Trump,0.46
2024-08-29,TheEconomist,Trump,0.44
2024-08-30,TheEconomist,Trump,0.46
2024-08-31,TheEconomist,Trump,0.47
2024-09-01,TheEconomist,Trump,0.47
2024-09-02,TheEconomist,Trump,0.47
2024-09-03,TheEconomist,Trump,0.46
2024-09-04,TheEconomist,Trump,0.46
2024-09-05,TheEconomist,Trump,0.46
2024-09-06,TheEconomist,Trump,0.49
2024-09-07,TheEconomist,Trump,0.47
2024-09-08,TheEconomist,Trump,0.48
2024-09-09,TheEconomist,Trump,0.49
2024-09-10,TheEconomist,Trump,0.47
2024-09-11,TheEconomist,Trump,0.48
2024-09-12,TheEconomist,Trump,0.49
2024-09-13,TheEconomist,Trump,0.48
2024-09-14,TheEconomist,Trump,0.47
2024-09-15,TheEconomist,Trump,0.47
2024-09-16,TheEconomist,Trump,0.47
2024-09-17,TheEconomist,Trump,0.44
2024-09-18,TheEconomist,Trump,0.43
2024-09-19,TheEconomist,Trump,0.4
2024-09-20,TheEconomist,Trump,0.43
2024-09-21,TheEconomist,Trump,0.44
2024-09-22,TheEconomist,Trump,0.42
2024-09-23,TheEconomist,Trump,0.43
2024-09-24,TheEconomist,Trump,0.46
2024-09-25,TheEconomist,Trump,0.45
2024-09-26,TheEconomist,Trump,0.45
2024-09-27,TheEconomist,Trump,0.41
2024-09-28,TheEconomist,Trump,0.43
2024-09-29,TheEconomist,Trump,0.43
2024-09-30,TheEconomist,Trump,0.42
2024-10-01,TheEconomist,Trump,0.44
2024-10-02,TheEconomist,Trump,0.44
2024-10-03,TheEconomist,Trump,0.44
2024-10-04,TheEconomist,Trump,0.45
2024-10-05,TheEconomist,Trump,0.47
2024-10-06,TheEconomist,Trump,0.47
2024-10-07,TheEconomist,Trump,0.47
2024-10-08,TheEconomist,Trump,0.47
2024-10-09,TheEconomist,Trump,0.46
2024-10-10,TheEconomist,Trump,0.49
2024-08-01,Betting,Harris,0.45
2024-08-02,Betting,Harris,0.453
2024-08-03,Betting,Harris,0.456
2024-08-04,Betting,Harris,0.458
2024-08-05,Betting,Harris,0.456
2024-08-06,Betting,Harris,0.477
2024-08-07,Betting,Harris,0.493
2024-08-08,Betting,Harris,0.504
2024-08-09,Betting,Harris,0.506
2024-08-10,Betting,Harris,0.524
2024-08-11,Betting,Harris,0.521
2024-08-12,Betting,Harris,0.526
2024-08-13,Betting,Harris,0.524
2024-08-14,Betting,Harris,0.53
2024-08-15,Betting,Harris,0.537
2024-08-16,Betting,Harris,0.536
2024-08-17,Betting,Harris,0.523
2024-08-18,Betting,Harris,0.513
2024-08-19,Betting,Harris,0.519
2024-08-20,Betting,Harris,0.499
2024-08-21,Betting,Harris,0.483
2024-08-22,Betting,Harris,0.488
2024-08-23,Betting,Harris,0.49
2024-08-24,Betting,Harris,0.498
2024-08-25,Betting,Harris,0.502
2024-08-26,Betting,Harris,0.505
2024-08-27,Betting,Harris,0.503
2024-08-28,Betting,Harris,0.495
2024-08-29,Betting,Harris,0.492
2024-08-30,Betting,Harris,0.495
2024-08-31,Betting,Harris,0.493
2024-09-01,Betting,Harris,0.495
2024-09-02,Betting,Harris,0.494
2024-09-03,Betting,Harris,0.493
2024-09-04,Betting,Harris,0.493
2024-09-05,Betting,Harris,0.49
2024-09-06,Betting,Harris,0.48
2024-09-07,Betting,Harris,0.487
2024-09-08,Betting,Harris,0.47
2024-09-09,Betting,Harris,0.468
2024-09-10,Betting,Harris,0.499
2024-09-11,Betting,Harris,0.513
2024-09-12,Betting,Harris,0.515
2024-09-13,Betting,Harris,0.511
2024-09-14,Betting,Harris,0.513
2024-09-15,Betting,Harris,0.509
2024-09-16,Betting,Harris,0.51
2024-09-17,Betting,Harris,0.517
2024-09-18,Betting,Harris,0.527
2024-09-19,Betting,Harris,0.523
2024-09-20,Betting,Harris,0.523
2024-09-21,Betting,Harris,0.523
2024-09-22,Betting,Harris,0.529
2024-09-23,Betting,Harris,0.531
2024-09-24,Betting,Harris,0.521
2024-09-25,Betting,Harris,0.509
2024-09-26,Betting,Harris,0.504
2024-09-27,Betting,Harris,0.51
2024-09-28,Betting,Harris,0.506
2024-09-29,Betting,Harris,0.504
2024-09-30,Betting,Harris,0.511
2024-10-01,Betting,Harris,0.504
2024-10-02,Betting,Harris,0.497
2024-10-03,Betting,Harris,0.496
2024-10-04,Betting,Harris,0.496
2024-10-05,Betting,Harris,0.494
2024-10-06,Betting,Harris,0.493
2024-10-07,Betting,Harris,0.486
2024-10-08,Betting,Harris,0.477
2024-10-09,Betting,Harris,0.475
2024-08-01,Betting,Trump,0.51
2024-08-02,Betting,Trump,0.513
2024-08-03,Betting,Trump,0.518
2024-08-04,Betting,Trump,0.522
2024-08-05,Betting,Trump,0.529
2024-08-06,Betting,Trump,0.509
2024-08-07,Betting,Trump,0.496
2024-08-08,Betting,Trump,0.48
2024-08-09,Betting,Trump,0.481
2024-08-10,Betting,Trump,0.461
2024-08-11,Betting,Trump,0.463
2024-08-12,Betting,Trump,0.46
2024-08-13,Betting,Trump,0.461
2024-08-14,Betting,Trump,0.454
2024-08-15,Betting,Trump,0.449
2024-08-16,Betting,Trump,0.45
2024-08-17,Betting,Trump,0.463
2024-08-18,Betting,Trump,0.473
2024-08-19,Betting,Trump,0.466
2024-08-20,Betting,Trump,0.489
2024-08-21,Betting,Trump,0.503
2024-08-22,Betting,Trump,0.498
2024-08-23,Betting,Trump,0.49
2024-08-24,Betting,Trump,0.487
2024-08-25,Betting,Trump,0.485
2024-08-26,Betting,Trump,0.482
2024-08-27,Betting,Trump,0.482
2024-08-28,Betting,Trump,0.49
2024-08-29,Betting,Trump,0.492
2024-08-30,Betting,Trump,0.49
2024-08-31,Betting,Trump,0.493
2024-09-01,Betting,Trump,0.493
2024-09-02,Betting,Trump,0.494
2024-09-03,Betting,Trump,0.495
2024-09-04,Betting,Trump,0.493
2024-09-05,Betting,Trump,0.497
2024-09-06,Betting,Trump,0.51
2024-09-07,Betting,Trump,0.498
2024-09-08,Betting,Trump,0.515
2024-09-09,Betting,Trump,0.517
2024-09-10,Betting,Trump,0.485
2024-09-11,Betting,Trump,0.47
2024-09-12,Betting,Trump,0.474
2024-09-13,Betting,Trump,0.476
2024-09-14,Betting,Trump,0.474
2024-09-15,Betting,Trump,0.474
2024-09-16,Betting,Trump,0.477
2024-09-17,Betting,Trump,0.469
2024-09-18,Betting,Trump,0.457
2024-09-19,Betting,Trump,0.466
2024-09-20,Betting,Trump,0.463
2024-09-21,Betting,Trump,0.461
2024-09-22,Betting,Trump,0.456
2024-09-23,Betting,Trump,0.454
2024-09-24,Betting,Trump,0.464
2024-09-25,Betting,Trump,0.474
2024-09-26,Betting,Trump,0.481
2024-09-27,Betting,Trump,0.477
2024-09-28,Betting,Trump,0.48
2024-09-29,Betting,Trump,0.481
2024-09-30,Betting,Trump,0.476
2024-10-01,Betting,Trump,0.479
2024-10-02,Betting,Trump,0.489
2024-10-03,Betting,Trump,0.49
2024-10-04,Betting,Trump,0.49
2024-10-05,Betting,Trump,0.493
2024-10-06,Betting,Trump,0.501
2024-10-07,Betting,Trump,0.511
2024-10-08,Betting,Trump,0.509
2024-10-09,Betting,Trump,0.513
2024-07-29,SilverBulletin,Harris,0.371724993
2024-07-30,SilverBulletin,Harris,0.381375015
2024-07-31,SilverBulletin,Harris,0.425325006
2024-08-01,SilverBulletin,Harris,0.445600003
2024-08-02,SilverBulletin,Harris,0.46557501
2024-08-03,SilverBulletin,Harris,0.480300009
2024-08-04,SilverBulletin,Harris,0.505424976
2024-08-05,SilverBulletin,Harris,0.530300021
2024-08-06,SilverBulletin,Harris,0.52412498
2024-08-07,SilverBulletin,Harris,0.528225005
2024-08-08,SilverBulletin,Harris,0.531599998
2024-08-09,SilverBulletin,Harris,0.53807497
2024-08-10,SilverBulletin,Harris,0.536175013
2024-08-11,SilverBulletin,Harris,0.53442502
2024-08-12,SilverBulletin,Harris,0.548150003
2024-08-13,SilverBulletin,Harris,0.560374975
2024-08-14,SilverBulletin,Harris,0.56704998
2024-08-15,SilverBulletin,Harris,0.556625009
2024-08-16,SilverBulletin,Harris,0.542100012
2024-08-17,SilverBulletin,Harris,0.537599981
2024-08-18,SilverBulletin,Harris,0.535274982
2024-08-19,SilverBulletin,Harris,0.536175013
2024-08-20,SilverBulletin,Harris,0.537124991
2024-08-21,SilverBulletin,Harris,0.527350008
2024-08-22,SilverBulletin,Harris,0.527800024
2024-08-23,SilverBulletin,Harris,0.534974992
2024-08-24,SilverBulletin,Harris,0.531799972
2024-08-25,SilverBulletin,Harris,0.524399996
2024-08-26,SilverBulletin,Harris,0.52502501
2024-08-27,SilverBulletin,Harris,0.514524996
2024-08-28,SilverBulletin,Harris,0.505375028
2024-08-29,SilverBulletin,Harris,0.473450005
2024-08-30,SilverBulletin,Harris,0.465925008
2024-08-31,SilverBulletin,Harris,0.446175009
2024-09-01,SilverBulletin,Harris,0.439850003
2024-09-02,SilverBulletin,Harris,0.434133291
2024-09-03,SilverBulletin,Harris,0.430325001
2024-09-04,SilverBulletin,Harris,0.415850013
2024-09-05,SilverBulletin,Harris,0.396800011
2024-09-06,SilverBulletin,Harris,0.383024991
2024-09-07,SilverBulletin,Harris,0.371300012
2024-09-08,SilverBulletin,Harris,0.359575003
2024-09-09,SilverBulletin,Harris,0.353300005
2024-09-10,SilverBulletin,Harris,0.384074986
2024-09-11,SilverBulletin,Harris,0.380699992
2024-09-12,SilverBulletin,Harris,0.391750008
2024-09-13,SilverBulletin,Harris,0.386599988
2024-09-14,SilverBulletin,Harris,0.39655
2024-09-15,SilverBulletin,Harris,0.400875002
2024-09-16,SilverBulletin,Harris,0.399825007
2024-09-17,SilverBulletin,Harris,0.434500009
2024-09-18,SilverBulletin,Harris,0.476424992
2024-09-19,SilverBulletin,Harris,0.487574995
2024-09-20,SilverBulletin,Harris,0.511475027
2024-09-21,SilverBulletin,Harris,0.525725007
2024-09-22,SilverBulletin,Harris,0.536849976
2024-09-23,SilverBulletin,Harris,0.532100022
2024-09-24,SilverBulletin,Harris,0.54095
2024-09-25,SilverBulletin,Harris,0.551800013
2024-09-26,SilverBulletin,Harris,0.551225007
2024-09-27,SilverBulletin,Harris,0.580924988
2024-09-28,SilverBulletin,Harris,0.573050022
2024-09-29,SilverBulletin,Harris,0.563257217
2024-09-30,SilverBulletin,Harris,0.550625026
2024-10-01,SilverBulletin,Harris,0.555225015
2024-10-02,SilverBulletin,Harris,0.565424979
2024-10-03,SilverBulletin,Harris,0.566999972
2024-10-04,SilverBulletin,Harris,0.561775029
2024-10-05,SilverBulletin,Harris,0.561325014
2024-10-06,SilverBulletin,Harris,0.562650025
2024-10-07,SilverBulletin,Harris,0.547049999
2024-10-08,SilverBulletin,Harris,0.549
2024-10-09,SilverBulletin,Harris,0.535
2024-10-10,SilverBulletin,Harris,0.526
2024-07-29,SilverBulletin,Trump,0.622574985
2024-07-30,SilverBulletin,Trump,0.613449991
2024-07-31,SilverBulletin,Trump,0.569050014
2024-08-01,SilverBulletin,Trump,0.549199998
2024-08-02,SilverBulletin,Trump,0.528249979
2024-08-03,SilverBulletin,Trump,0.512899995
2024-08-04,SilverBulletin,Trump,0.488124996
2024-08-05,SilverBulletin,Trump,0.46360001
2024-08-06,SilverBulletin,Trump,0.469675004
2024-08-07,SilverBulletin,Trump,0.466125011
2024-08-08,SilverBulletin,Trump,0.462049991
2024-08-09,SilverBulletin,Trump,0.457275003
2024-08-10,SilverBulletin,Trump,0.459275007
2024-08-11,SilverBulletin,Trump,0.460575014
2024-08-12,SilverBulletin,Trump,0.4472
2024-08-13,SilverBulletin,Trump,0.434599996
2024-08-14,SilverBulletin,Trump,0.427249998
2024-08-15,SilverBulletin,Trump,0.437550008
2024-08-16,SilverBulletin,Trump,0.452225
2024-08-17,SilverBulletin,Trump,0.457275003
2024-08-18,SilverBulletin,Trump,0.459199995
2024-08-19,SilverBulletin,Trump,0.457325011
2024-08-20,SilverBulletin,Trump,0.459075004
2024-08-21,SilverBulletin,Trump,0.468724996
2024-08-22,SilverBulletin,Trump,0.468524992
2024-08-23,SilverBulletin,Trump,0.460999995
2024-08-24,SilverBulletin,Trump,0.465700001
2024-08-25,SilverBulletin,Trump,0.473174989
2024-08-26,SilverBulletin,Trump,0.4722
2024-08-27,SilverBulletin,Trump,0.4827
2024-08-28,SilverBulletin,Trump,0.4917
2024-08-29,SilverBulletin,Trump,0.5238
2024-08-30,SilverBulletin,Trump,0.531
2024-08-31,SilverBulletin,Trump,0.55112
2024-09-01,SilverBulletin,Trump,0.557550013
2024-09-02,SilverBulletin,Trump,0.563266695
2024-09-03,SilverBulletin,Trump,0.56674999
2024-09-04,SilverBulletin,Trump,0.581525028
2024-09-05,SilverBulletin,Trump,0.600624979
2024-09-06,SilverBulletin,Trump,0.614724994
2024-09-07,SilverBulletin,Trump,0.626524985
2024-09-08,SilverBulletin,Trump,0.63805002
2024-09-09,SilverBulletin,Trump,0.644424975
2024-09-10,SilverBulletin,Trump,0.61285001
2024-09-11,SilverBulletin,Trump,0.615800023
2024-09-12,SilverBulletin,Trump,0.605499983
2024-09-13,SilverBulletin,Trump,0.610125005
2024-09-14,SilverBulletin,Trump,0.600525022
2024-09-15,SilverBulletin,Trump,0.596475005
2024-09-16,SilverBulletin,Trump,0.596825004
2024-09-17,SilverBulletin,Trump,0.562349975
2024-09-18,SilverBulletin,Trump,0.520399988
2024-09-19,SilverBulletin,Trump,0.51017499
2024-09-20,SilverBulletin,Trump,0.485774994
2024-09-21,SilverBulletin,Trump,0.471949995
2024-09-22,SilverBulletin,Trump,0.460325003
2024-09-23,SilverBulletin,Trump,0.465525001
2024-09-24,SilverBulletin,Trump,0.456999987
2024-09-25,SilverBulletin,Trump,0.44600001
2024-09-26,SilverBulletin,Trump,0.446424991
2024-09-27,SilverBulletin,Trump,0.417075008
2024-09-28,SilverBulletin,Trump,0.424825013
2024-09-29,SilverBulletin,Trump,0.434657186
2024-09-30,SilverBulletin,Trump,0.446624994
2024-10-01,SilverBulletin,Trump,0.442575008
2024-10-02,SilverBulletin,Trump,0.432725012
2024-10-03,SilverBulletin,Trump,0.430649996
2024-10-04,SilverBulletin,Trump,0.43599999
2024-10-05,SilverBulletin,Trump,0.436399996
2024-10-06,SilverBulletin,Trump,0.434774995
2024-10-07,SilverBulletin,Trump,0.450075001
2024-10-08,SilverBulletin,Trump,0.449
2024-10-09,SilverBulletin,Trump,0.462
2024-10-10,SilverBulletin,Trump,0.472
2024-07-26,FiveThirtyEight,Harris,0.4676
2024-07-26,FiveThirtyEight,Trump,0.5324
2024-07-27,FiveThirtyEight,Harris,0.4643
2024-07-27,FiveThirtyEight,Trump,0.5357000000000001
2024-07-28,FiveThirtyEight,Harris,0.4657
2024-07-28,FiveThirtyEight,Trump,0.5343
2024-07-29,FiveThirtyEight,Harris,0.4589
2024-07-29,FiveThirtyEight,Trump,0.5411
2024-07-30,FiveThirtyEight,Harris,0.4851
2024-07-30,FiveThirtyEight,Trump,0.5149
2024-07-31,FiveThirtyEight,Harris,0.4733
2024-07-31,FiveThirtyEight,Trump,0.5267
2024-08-01,FiveThirtyEight,Harris,0.4732
2024-08-01,FiveThirtyEight,Trump,0.5267999999999999
2024-08-02,FiveThirtyEight,Harris,0.4835
2024-08-02,FiveThirtyEight,Trump,0.5165
2024-08-03,FiveThirtyEight,Harris,0.4837
2024-08-03,FiveThirtyEight,Trump,0.5163
2024-08-04,FiveThirtyEight,Harris,0.4865
2024-08-04,FiveThirtyEight,Trump,0.5135000000000001
2024-08-05,FiveThirtyEight,Harris,0.4952
2024-08-05,FiveThirtyEight,Trump,0.5048
2024-08-06,FiveThirtyEight,Harris,0.4884
2024-08-06,FiveThirtyEight,Trump,0.5116
2024-08-07,FiveThirtyEight,Harris,0.4942
2024-08-07,FiveThirtyEight,Trump,0.5058
2024-08-08,FiveThirtyEight,Harris,0.514
2024-08-08,FiveThirtyEight,Trump,0.486
2024-08-09,FiveThirtyEight,Harris,0.5202
2024-08-09,FiveThirtyEight,Trump,0.4798
2024-08-10,FiveThirtyEight,Harris,0.5225
2024-08-10,FiveThirtyEight,Trump,0.47750000000000004
2024-08-11,FiveThirtyEight,Harris,0.5279
2024-08-11,FiveThirtyEight,Trump,0.47209999999999996
2024-08-12,FiveThirtyEight,Harris,0.5504
2024-08-12,FiveThirtyEight,Trump,0.4496
2024-08-13,FiveThirtyEight,Harris,0.5467
2024-08-13,FiveThirtyEight,Trump,0.45330000000000004
2024-08-14,FiveThirtyEight,Harris,0.5524
2024-08-14,FiveThirtyEight,Trump,0.4476
2024-08-15,FiveThirtyEight,Harris,0.5558
2024-08-15,FiveThirtyEight,Trump,0.44420000000000004
2024-08-16,FiveThirtyEight,Harris,0.5405
2024-08-16,FiveThirtyEight,Trump,0.4595
2024-08-17,FiveThirtyEight,Harris,0.5353
2024-08-17,FiveThirtyEight,Trump,0.4647
2024-08-18,FiveThirtyEight,Harris,0.5418
2024-08-18,FiveThirtyEight,Trump,0.45820000000000005
2024-08-19,FiveThirtyEight,Harris,0.5556
2024-08-19,FiveThirtyEight,Trump,0.4444
2024-08-20,FiveThirtyEight,Harris,0.5562
2024-08-20,FiveThirtyEight,Trump,0.4438
2024-08-21,FiveThirtyEight,Harris,0.5793
2024-08-21,FiveThirtyEight,Trump,0.42069999999999996
2024-08-22,FiveThirtyEight,Harris,0.5835
2024-08-22,FiveThirtyEight,Trump,0.4165
2024-08-23,FiveThirtyEight,Harris,0.582
2024-08-23,FiveThirtyEight,Trump,0.41800000000000004
2024-08-24,FiveThirtyEight,Harris,0.5867
2024-08-24,FiveThirtyEight,Trump,0.4133
2024-08-25,FiveThirtyEight,Harris,0.6001
2024-08-25,FiveThirtyEight,Trump,0.39990000000000003
2024-08-26,FiveThirtyEight,Harris,0.5952
2024-08-26,FiveThirtyEight,Trump,0.40480000000000005
2024-08-27,FiveThirtyEight,Harris,0.586
2024-08-27,FiveThirtyEight,Trump,0.41400000000000003
2024-08-28,FiveThirtyEight,Harris,0.5938
2024-08-28,FiveThirtyEight,Trump,0.4062
2024-08-29,FiveThirtyEight,Harris,0.582
2024-08-29,FiveThirtyEight,Trump,0.41800000000000004
2024-08-30,FiveThirtyEight,Harris,0.5562
2024-08-30,FiveThirtyEight,Trump,0.4438
2024-08-31,FiveThirtyEight,Harris,0.5651
2024-08-31,FiveThirtyEight,Trump,0.43489999999999995
2024-09-01,FiveThirtyEight,Harris,0.5486
